dataset,case_id,comparison,model_a,model_b,value_a,value_b,checkpoint_a,checkpoint_b,main_model,comparator,metric,main_value,comparator_value,paired_difference
Internal,liver_11,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.6955161626694474,0.6983600341264575,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.6955161626694474,0.6983600341264575,-0.0028438714570101498
Internal,liver_111,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.7278082191780821,0.7295890410958904,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.7278082191780821,0.7295890410958904,-0.0017808219178082618
Internal,liver_112,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.8314987298899238,0.8298052497883149,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.8314987298899238,0.8298052497883149,0.0016934801016088574
Internal,liver_117,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.8838430236381289,0.8883406892230091,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.8838430236381289,0.8883406892230091,-0.004497665584880184
Internal,liver_127,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.013422818791946308,0.1040268456375839,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.013422818791946308,0.1040268456375839,-0.09060402684563759
Internal,liver_128,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.8867258913560739,0.8848058354999035,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.8867258913560739,0.8848058354999035,0.0019200558561703884
Internal,liver_129,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.8928753760240027,0.879758192676139,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.8928753760240027,0.879758192676139,0.013117183347863715
Internal,liver_130,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.5837007079610202,0.6794337179083206,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.5837007079610202,0.6794337179083206,-0.09573300994730038
Internal,liver_17,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.9386612166896698,0.9358742966344623,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.9386612166896698,0.9358742966344623,0.0027869200552075313
Internal,liver_36,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.831222773781785,0.845861614831324,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.831222773781785,0.845861614831324,-0.014638841049539053
