dataset,comparison,comparison_label,main_model,comparator,metric,metric_label,n_pairs,main_mean,main_std,main_median,main_q1,main_q3,comparator_mean,comparator_std,comparator_median,comparator_q1,comparator_q3,mean_difference,median_difference,difference_q1,difference_q3,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p_raw,wilcoxon_p_holm,bootstrap_repetitions,random_seed
Internal,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_precision,Tumor Precision,23,0.8609855176275453,0.11902399858503723,0.8983125702475443,0.8076951747181784,0.9453528467012168,0.775231059914927,0.21709438947739612,0.8290706194669005,0.7045144787087351,0.9194769915520888,0.08575445771261818,0.02083841948402554,0.008988871490818506,0.04152477933622406,0.025675387290412778,0.1822917950228939,2.384185791015625e-07,7.152557373046875e-07,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,liver_dice,Liver Dice,26,0.9534916705169987,0.050656966104165674,0.964963633229184,0.9519161707899166,0.9773260191196934,0.951271670268218,0.05193790109507124,0.9599555518375902,0.9523610495348108,0.9759156120339861,0.002220000248780769,-0.00015500857608735652,-0.0008083079303983776,0.003042443990166316,0.00029873490178195476,0.004480624751693488,0.18135443329811096,0.18135443329811096,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_dice,Tumor Dice,15,0.7348807273015739,0.25472788271886393,0.804805233762338,0.7568570548393834,0.8598135498040562,0.6899549938756696,0.2779284268096851,0.7739779202179391,0.71311168129947,0.8578122142312017,0.044925733425904106,0.007500145105403422,0.001942301029222826,0.01975869537344671,0.00479006435302015,0.12057684946661532,0.007630414739245609,0.022891244217736827,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,Tumor Recall,15,0.6665158012065848,0.24045872392862022,0.6861114897096906,0.6139513928589244,0.7896233854947077,0.6554151098366134,0.24008141829072865,0.6985143791740493,0.5943919078961535,0.7794636828932728,0.011100691369971657,0.012815317597001386,0.0023024167210973223,0.019912698716387178,0.004843644288892242,0.01734659391301372,0.007630414739245609,0.015639723768298204,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_precision,Tumor Precision,15,0.8428146834796058,0.3024699569369921,0.9576525188842303,0.9310561156459163,0.9871212893460215,0.7876713670796326,0.3458141821219147,0.9551445892272316,0.8382516386737929,0.986687450563847,0.05514331639997301,0.0,-0.0061861684307216724,0.0023490028113666295,-0.004537338630537394,0.16905839244487236,0.9749599188317098,0.9749599188317098,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,liver_dice,Liver Dice,20,0.9673440496898715,0.013364995317248694,0.9709263939811976,0.9642860840751977,0.9750412738802722,0.9659963884977134,0.015405757581536634,0.970297698538654,0.9649291104215911,0.9745463758858999,0.001347661192157934,5.252867743482659e-05,-0.00023160096046886958,0.000982732583377055,-3.50761982430225e-05,0.003520319336066119,0.34881019592285156,0.34881019592285156,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_dice,Tumor Dice,15,0.7348807273015739,0.25472788271886393,0.804805233762338,0.7568570548393834,0.8598135498040562,0.7261276596655368,0.25903910161606414,0.7856463878326996,0.7400078299484429,0.8596520888181091,0.008753067636037039,0.005388254277786442,-0.001088437036856904,0.015683369267513736,-0.00024526587503758773,0.017809832372554218,0.06403929052055472,0.12807858104110945,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_recall,Tumor Recall,15,0.6665158012065848,0.24045872392862022,0.6861114897096906,0.6139513928589244,0.7896233854947077,0.6502263646127721,0.23705715146636533,0.6758893280632411,0.5912442060262113,0.7807743430673311,0.016289436593812774,0.012723102863675728,0.005762351125504994,0.02452183856933593,0.007811944170490003,0.025442991999816096,0.005213241256099401,0.015639723768298204,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_precision,Tumor Precision,15,0.8428146834796058,0.3024699569369921,0.9576525188842303,0.9310561156459163,0.9871212893460215,0.8446476538953827,0.307918940438656,0.9568901989683124,0.9329500256532673,0.9842276368069109,-0.0018329704157769929,-0.00036637913992443316,-0.004513811421126501,0.0010979165634011356,-0.019208906832528787,0.012981185888175411,0.4703377962613965,0.940675592522793,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,liver_dice,Liver Dice,20,0.9673440496898715,0.013364995317248694,0.9709263939811976,0.9642860840751977,0.9750412738802722,0.966424717481447,0.014095699592892138,0.969978919193943,0.9645258082159264,0.9747494854275935,0.0009193322084246946,0.0003635585743630987,-0.00029699794305071414,0.0010138593683031716,-5.978657322668886e-06,0.0023054773968548443,0.0758514404296875,0.151702880859375,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_dice,Tumor Dice,15,0.7348807273015739,0.25472788271886393,0.804805233762338,0.7568570548393834,0.8598135498040562,0.6778259829906541,0.2868656271953114,0.7811939283843573,0.6331813774295055,0.8737800466848209,0.05705474431091985,0.0,-0.015369121048537548,0.006226250199086403,-0.0072690687866909945,0.15723863960792817,0.9249783071207602,0.9249783071207602,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_recall,Tumor Recall,15,0.6665158012065848,0.24045872392862022,0.6861114897096906,0.6139513928589244,0.7896233854947077,0.6779184465148466,0.2455468418606547,0.7319067738857844,0.5961302257312795,0.8301977883387048,-0.011402645308261664,-0.00940053154838072,-0.034249838063546256,0.0010793615097663412,-0.02450524066555337,0.00324638904708199,0.1401460614684125,0.1401460614684125,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_precision,Tumor Precision,15,0.8428146834796058,0.3024699569369921,0.9576525188842303,0.9310561156459163,0.9871212893460215,0.7572006912115027,0.363397126727181,0.9512119808553342,0.6408686937004113,0.9839685646260177,0.085613992268103,0.001836220782277409,-0.0017252931957389417,0.00921823269623151,-0.0013525796714291714,0.22663658398120934,0.1771140408635976,0.5313421225907928,10000,20260727
IRCADb,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,liver_dice,Liver Dice,20,0.9673440496898715,0.013364995317248694,0.9709263939811976,0.9642860840751977,0.9750412738802722,0.9659647952891065,0.013855777282887179,0.9698764963009001,0.9645649923248492,0.9740052223963447,0.0013792544007647622,0.0013581459456107892,0.00011143567070620586,0.002864396860652735,0.0003684761564988169,0.002385435162913091,0.01923370361328125,0.05770111083984375,10000,20260727
